ticra_cat,genre
5,Action/Adventure
4,Action/Adventure
2,Action/Adventure
6,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
1,Action/Adventure
1,Action/Adventure
6,Action/Adventure
2,Action/Adventure
6,Action/Adventure
4,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
2,Action/Adventure
3,Action/Adventure
6,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
1,Action/Adventure
3,Action/Adventure
6,Action/Adventure
2,Action/Adventure
3,Action/Adventure
2,Action/Adventure
3,Action/Adventure
2,Action/Adventure
2,Action/Adventure
1,Action/Adventure
6,Action/Adventure
4,Action/Adventure
1,Action/Adventure
3,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
6,Action/Adventure
3,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
3,Action/Adventure
2,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
2,Action/Adventure
1,Action/Adventure
4,Action/Adventure
4,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
5,Action/Adventure
5,Action/Adventure
5,Action/Adventure
3,Action/Adventure
5,Action/Adventure
4,Action/Adventure
6,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
6,Action/Adventure
5,Action/Adventure
3,Action/Adventure
3,Action/Adventure
5,Action/Adventure
3,Action/Adventure
5,Action/Adventure
1,Action/Adventure
3,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
5,Action/Adventure
6,Action/Adventure
3,Action/Adventure
3,Action/Adventure
4,Action/Adventure
5,Action/Adventure
6,Action/Adventure
6,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
6,Action/Adventure
4,Action/Adventure
6,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
1,Action/Adventure
3,Action/Adventure
2,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
5,Action/Adventure
6,Action/Adventure
1,Action/Adventure
1,Action/Adventure
3,Action/Adventure
2,Action/Adventure
5,Action/Adventure
1,Action/Adventure
6,Action/Adventure
3,Action/Adventure
1,Action/Adventure
4,Action/Adventure
2,Action/Adventure
1,Action/Adventure
6,Action/Adventure
2,Action/Adventure
3,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
4,Action/Adventure
6,Action/Adventure
3,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
2,Action/Adventure
3,Action/Adventure
1,Action/Adventure
1,Action/Adventure
6,Action/Adventure
4,Action/Adventure
1,Action/Adventure
3,Action/Adventure
3,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
2,Action/Adventure
1,Action/Adventure
2,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
3,Action/Adventure
3,Action/Adventure
3,Action/Adventure
3,Action/Adventure
1,Action/Adventure
2,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
2,Action/Adventure
4,Action/Adventure
5,Action/Adventure
4,Action/Adventure
5,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
2,Action/Adventure
3,Action/Adventure
2,Action/Adventure
2,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
5,Action/Adventure
1,Action/Adventure
5,Action/Adventure
3,Action/Adventure
2,Action/Adventure
1,Action/Adventure
1,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
4,Action/Adventure
2,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
6,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
5,Action/Adventure
4,Action/Adventure
6,Action/Adventure
1,Action/Adventure
3,Action/Adventure
4,Action/Adventure
1,Action/Adventure
4,Action/Adventure
4,Action/Adventure
6,Action/Adventure
4,Action/Adventure
3,Action/Adventure
1,Action/Adventure
6,Action/Adventure
1,Action/Adventure
4,Action/Adventure
1,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
6,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
1,Action/Adventure
3,Action/Adventure
6,Action/Adventure
5,Action/Adventure
5,Action/Adventure
4,Action/Adventure
6,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
6,Action/Adventure
6,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
6,Action/Adventure
3,Action/Adventure
4,Action/Adventure
5,Action/Adventure
1,Action/Adventure
1,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
5,Action/Adventure
1,Action/Adventure
6,Action/Adventure
5,Action/Adventure
3,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
4,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
6,Action/Adventure
2,Action/Adventure
4,Action/Adventure
5,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
6,Action/Adventure
4,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
1,Action/Adventure
3,Action/Adventure
5,Action/Adventure
6,Action/Adventure
1,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
6,Action/Adventure
2,Action/Adventure
4,Action/Adventure
5,Action/Adventure
2,Action/Adventure
2,Action/Adventure
6,Action/Adventure
3,Action/Adventure
3,Action/Adventure
1,Action/Adventure
4,Action/Adventure
5,Action/Adventure
3,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
6,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
6,Action/Adventure
5,Action/Adventure
3,Action/Adventure
5,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
6,Action/Adventure
1,Action/Adventure
4,Action/Adventure
5,Action/Adventure
2,Action/Adventure
4,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
1,Action/Adventure
5,Action/Adventure
4,Action/Adventure
1,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
5,Action/Adventure
1,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
6,Action/Adventure
4,Action/Adventure
5,Action/Adventure
3,Action/Adventure
6,Action/Adventure
6,Action/Adventure
3,Action/Adventure
1,Action/Adventure
3,Action/Adventure
6,Action/Adventure
5,Action/Adventure
6,Action/Adventure
6,Action/Adventure
5,Action/Adventure
3,Action/Adventure
4,Action/Adventure
1,Action/Adventure
2,Action/Adventure
4,Action/Adventure
5,Action/Adventure
5,Action/Adventure
5,Action/Adventure
3,Action/Adventure
3,Action/Adventure
5,Action/Adventure
5,Action/Adventure
5,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
4,Action/Adventure
2,Action/Adventure
5,Action/Adventure
2,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
2,Action/Adventure
4,Action/Adventure
2,Action/Adventure
6,Action/Adventure
6,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
3,Action/Adventure
2,Action/Adventure
4,Action/Adventure
4,Action/Adventure
3,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
6,Action/Adventure
6,Action/Adventure
1,Action/Adventure
3,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
1,Action/Adventure
3,Action/Adventure
2,Action/Adventure
6,Action/Adventure
3,Action/Adventure
6,Action/Adventure
4,Action/Adventure
3,Action/Adventure
1,Action/Adventure
1,Action/Adventure
3,Action/Adventure
6,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
5,Action/Adventure
5,Action/Adventure
1,Action/Adventure
4,Action/Adventure
4,Action/Adventure
4,Action/Adventure
4,Action/Adventure
1,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
6,Action/Adventure
4,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
3,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
6,Action/Adventure
6,Action/Adventure
2,Action/Adventure
5,Action/Adventure
5,Action/Adventure
3,Action/Adventure
6,Action/Adventure
5,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
4,Action/Adventure
5,Action/Adventure
5,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
1,Action/Adventure
4,Action/Adventure
1,Action/Adventure
6,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
5,Action/Adventure
4,Action/Adventure
4,Action/Adventure
6,Action/Adventure
6,Action/Adventure
2,Action/Adventure
5,Action/Adventure
6,Action/Adventure
3,Action/Adventure
6,Action/Adventure
4,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
2,Action/Adventure
4,Action/Adventure
4,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
3,Action/Adventure
6,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
1,Action/Adventure
3,Action/Adventure
2,Action/Adventure
3,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
3,Action/Adventure
4,Action/Adventure
4,Action/Adventure
3,Action/Adventure
2,Action/Adventure
1,Action/Adventure
1,Action/Adventure
6,Action/Adventure
4,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
6,Action/Adventure
4,Action/Adventure
3,Action/Adventure
4,Action/Adventure
2,Action/Adventure
1,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
3,Action/Adventure
6,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
3,Action/Adventure
5,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
2,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
3,Action/Adventure
5,Action/Adventure
6,Action/Adventure
3,Action/Adventure
6,Action/Adventure
2,Action/Adventure
6,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
6,Action/Adventure
3,Action/Adventure
1,Action/Adventure
4,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
2,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
6,Action/Adventure
5,Action/Adventure
2,Action/Adventure
2,Action/Adventure
2,Action/Adventure
2,Action/Adventure
5,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
2,Action/Adventure
4,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
3,Action/Adventure
1,Action/Adventure
5,Action/Adventure
4,Action/Adventure
5,Action/Adventure
2,Action/Adventure
6,Action/Adventure
1,Action/Adventure
2,Action/Adventure
3,Action/Adventure
5,Action/Adventure
3,Action/Adventure
2,Action/Adventure
1,Action/Adventure
2,Action/Adventure
5,Action/Adventure
6,Action/Adventure
4,Action/Adventure
5,Action/Adventure
2,Action/Adventure
3,Action/Adventure
6,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
3,Action/Adventure
5,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
3,Action/Adventure
3,Action/Adventure
6,Action/Adventure
1,Action/Adventure
6,Action/Adventure
4,Action/Adventure
1,Action/Adventure
2,Action/Adventure
3,Action/Adventure
4,Action/Adventure
1,Action/Adventure
6,Action/Adventure
5,Action/Adventure
5,Action/Adventure
4,Action/Adventure
3,Action/Adventure
4,Action/Adventure
1,Action/Adventure
3,Action/Adventure
5,Action/Adventure
5,Action/Adventure
3,Action/Adventure
1,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
3,Action/Adventure
3,Action/Adventure
3,Action/Adventure
6,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
5,Action/Adventure
6,Action/Adventure
1,Action/Adventure
2,Action/Adventure
2,Action/Adventure
6,Action/Adventure
5,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
6,Action/Adventure
5,Action/Adventure
6,Action/Adventure
3,Action/Adventure
3,Action/Adventure
1,Action/Adventure
6,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
6,Action/Adventure
2,Action/Adventure
2,Action/Adventure
5,Action/Adventure
1,Action/Adventure
3,Action/Adventure
1,Action/Adventure
6,Action/Adventure
4,Action/Adventure
6,Action/Adventure
6,Action/Adventure
3,Action/Adventure
6,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
5,Action/Adventure
6,Action/Adventure
3,Action/Adventure
5,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
1,Action/Adventure
5,Action/Adventure
6,Action/Adventure
1,Action/Adventure
3,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
2,Action/Adventure
6,Action/Adventure
2,Action/Adventure
2,Action/Adventure
6,Action/Adventure
3,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
6,Action/Adventure
2,Action/Adventure
6,Action/Adventure
5,Action/Adventure
5,Action/Adventure
2,Action/Adventure
4,Action/Adventure
2,Action/Adventure
2,Action/Adventure
4,Action/Adventure
4,Action/Adventure
5,Action/Adventure
4,Action/Adventure
1,Action/Adventure
4,Action/Adventure
4,Action/Adventure
2,Action/Adventure
2,Action/Adventure
2,Action/Adventure
1,Action/Adventure
4,Action/Adventure
3,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
6,Action/Adventure
4,Action/Adventure
3,Action/Adventure
1,Action/Adventure
3,Action/Adventure
3,Action/Adventure
2,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
6,Action/Adventure
1,Action/Adventure
5,Action/Adventure
5,Action/Adventure
1,Action/Adventure
1,Action/Adventure
2,Action/Adventure
6,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
4,Action/Adventure
4,Action/Adventure
6,Action/Adventure
2,Action/Adventure
4,Action/Adventure
6,Action/Adventure
2,Action/Adventure
6,Action/Adventure
1,Action/Adventure
1,Action/Adventure
5,Action/Adventure
1,Action/Adventure
6,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
5,Action/Adventure
3,Action/Adventure
5,Action/Adventure
3,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
3,Action/Adventure
4,Action/Adventure
4,Action/Adventure
3,Action/Adventure
6,Action/Adventure
4,Action/Adventure
3,Action/Adventure
6,Action/Adventure
3,Action/Adventure
2,Action/Adventure
5,Action/Adventure
4,Action/Adventure
4,Action/Adventure
6,Action/Adventure
5,Action/Adventure
4,Action/Adventure
3,Action/Adventure
2,Action/Adventure
4,Action/Adventure
3,Action/Adventure
3,Action/Adventure
5,Action/Adventure
1,Action/Adventure
1,Action/Adventure
3,Action/Adventure
4,Action/Adventure
